Original,Factor,Train,Test
1041,ec1,833,208
631,ec2,505,126
473,ec3,378,95
186,ec4,149,37
137,ec1_2,110,27
71,ec6,57,14
64,ec5,51,13
66,ec2_3,53,13
33,ec1_3,26,7
28,ec1_2_4,22,6
25,ec1_4,20,5
24,ec2_4,19,5
8,ec1_6,6,2
20,ec1_2_3,16,4
13,ec1_5,10,3
13,ec2_6,10,3
17,ec3_4,14,3
13,ec1_2_6,10,3
9,ec2_5,7,2
9,ec1_2_4_6,7,2
4,ec3_5,3,1
4,ec3_6,3,1
6,ec4_5,5,1
4,ec4_6,3,1
3,ec1_2_5,2,1
4,ec1_3_4,3,1
3,ec1_3_6,2,1
4,ec1_4_6,3,1
7,ec2_3_4,6,1
3,ec2_3_5,2,1
4,ec2_3_6,3,1
3,ec2_4_6,2,1
3,ec1_2_3_4,2,1
3,ec1_2_3_6,2,1
3,ec1_2_4_5,2,1
5,ec1_2_3_4_6,4,1
3,ec1_2_4_5_6,2,1
1,ec1_4_5,1,0
1,ec2_4_5,1,0
1,ec3_4_6,1,0
1,ec3_5_6,1,0
1,ec1_2_3_5,1,0
2,ec1_2_5_6,2,0
1,ec1_3_4_5,1,0
2,ec2_3_4_5,2,0
1,ec2_3_4_6,1,0
1,ec1_2_3_4_5,1,0